Symbol;Security;SEC filings;GICS Sector;ID Sector;GICS Sub-Industry;Headquarters Location;Date first added;CIK;Founded
AEE;Ameren Corp;reports;Utilities;11;Multi-Utilities;St. Louis, Missouri;19/09/1991;1002910;1902
AEP;American Electric Power;reports;Utilities;11;Electric Utilities;Columbus, Ohio;04/03/1957;4904;1906
AES;AES Corp;reports;Utilities;11;Independent Power Producers & Energy Traders;Arlington, Virginia;02/10/1998;874761;1981
ATO;Atmos Energy;reports;Utilities;11;Gas Utilities;Dallas, Texas;15/02/2019;731802;1906
AWK;American Water Works;reports;Utilities;11;Water Utilities;Camden, New Jersey;04/03/2016;1410636;1886
CMS;CMS Energy;reports;Utilities;11;Multi-Utilities;Jackson, Michigan;03/05/1999;811156;1886
CNP;CenterPoint Energy;reports;Utilities;11;Multi-Utilities;Houston, Texas;31/07/1985;1130310;1882
D;Dominion Energy;reports;Utilities;11;Electric Utilities;Richmond, Virginia;;715957;1983
DTE;DTE Energy;reports;Utilities;11;Multi-Utilities;Detroit, Michigan;04/03/1957;936340;1995
DUK;Duke Energy;reports;Utilities;11;Electric Utilities;Charlotte, North Carolina;30/06/1976;1326160;1904
ED;Consolidated Edison;reports;Utilities;11;Electric Utilities;New York City, New York;;1047862;1823
EIX;Edison International;reports;Utilities;11;Electric Utilities;Rosemead, California;04/03/1957;827052;1886
ES;Eversource Energy;reports;Utilities;11;Multi-Utilities;Hartford, Connecticut;;72741;1966
ETR;Entergy;reports;Utilities;11;Electric Utilities;New Orleans, Louisiana;04/03/1957;65984;1913
EVRG;Evergy;reports;Utilities;11;Electric Utilities;Kansas City, Missouri;05/06/2018;1711269;1909
EXC;Exelon;reports;Utilities;11;Multi-Utilities;Chicago, Illinois;04/03/1957;1109357;2000
FE;FirstEnergy;reports;Utilities;11;Electric Utilities;Akron, Ohio;;1031296;1997
LNT;Alliant Energy;reports;Utilities;11;Electric Utilities;Madison, Wisconsin;01/07/2016;352541;1917
NEE;NextEra Energy;reports;Utilities;11;Multi-Utilities;Juno Beach, Florida;30/06/1976;753308;1984 (1925)
NI;NiSource;reports;Utilities;11;Multi-Utilities;Merrillville, Indiana;;1111711;1912
NRG;NRG Energy;reports;Utilities;11;Independent Power Producers & Energy Traders;Houston, Texas;29/01/2010;1013871;1992
PEG;Public Service Enterprise Group;reports;Utilities;11;Electric Utilities;Newark, New Jersey;04/03/1957;788784;1903
PNW;Pinnacle West Capital;reports;Utilities;11;Multi-Utilities;Phoenix, Arizona;;764622;1985
PPL;PPL;reports;Utilities;11;Electric Utilities;Allentown, Pennsylvania;;922224;1920
SO;Southern Company;reports;Utilities;11;Electric Utilities;Atlanta, Georgia;04/03/1957;92122;1945
SRE;Sempra Energy;reports;Utilities;11;Multi-Utilities;San Diego, California;;1032208;1998
WEC;WEC Energy Group;reports;Utilities;11;Electric Utilities;Milwaukee, Wisconsin;31/10/2008;783325;1896
XEL;Xcel Energy;reports;Utilities;11;Multi-Utilities;Minneapolis, Minnesota;04/03/1957;72903;1909
AMT;American Tower;reports;Real Estate;10;Specialized REITs;Boston, Massachusetts;19/11/2007;1053507;1995
ARE;Alexandria Real Estate Equities;reports;Real Estate;10;Office REITs;Pasadena, California;20/03/2017;1035443;1994
AVB;AvalonBay Communities;reports;Real Estate;10;Residential REITs;Arlington, Virginia[3];10/01/2007;915912;1978
BXP;Boston Properties;reports;Real Estate;10;Office REITs;Boston, Massachusetts;03/04/2006;1037540;1970
CBRE;CBRE;reports;Real Estate;10;Real Estate Services;Dallas, Texas;10/11/2006;1138118;1906
CCI;Crown Castle;reports;Real Estate;10;Specialized REITs;Houston, Texas;14/03/2012;1051470;1994
DLR;Digital Realty Trust;reports;Real Estate;10;Specialized REITs;Austin, Texas;18/05/2016;1297996;2004
DRE;Duke Realty Corp;reports;Real Estate;10;Industrial REITs;Indianapolis, Indiana;26/07/2017;783280;1972
EQIX;Equinix;reports;Real Estate;10;Specialized REITs;Redwood City, California;20/03/2015;1101239;1998
EQR;Equity Residential;reports;Real Estate;10;Residential REITs;Chicago, Illinois;03/12/2001;906107;1969
ESS;Essex Property Trust;reports;Real Estate;10;Residential REITs;San Mateo, California;02/04/2014;920522;1971
EXR;Extra Space Storage;reports;Real Estate;10;Specialized REITs;Salt Lake City, Utah;19/01/2016;1289490;1977
FRT;Federal Realty Investment Trust;reports;Real Estate;10;Retail REITs;Rockville, Maryland;01/02/2016;34903;1962
HST;Host Hotels & Resorts;reports;Real Estate;10;Hotel & Resort REITs;Bethesda, Maryland;20/03/2007;1070750;1993
IRM;Iron Mountain;reports;Real Estate;10;Specialized REITs;Boston, Massachusetts;06/01/2009;1020569;1951
KIM;Kimco Realty;reports;Real Estate;10;Retail REITs;New Hyde Park, New York;04/04/2006;879101;1958
